1	9	3353	191	89
2	8	482	111	40
3	6	2345	39	60
4	2	3035	256	141
5	6	2144	272	69
6	2	612	274	10
7	5	3259	108	97
8	2	3845	246	46
9	4	3035	243	82
10	9	2793	145	123
11	8	1323	232	100
12	6	4498	153	18
13	7	4355	173	55
14	3	4800	238	50
15	8	4715	75	55
16	3	1780	232	136
17	1	443	172	79
18	8	2747	5	112
19	3	3168	174	32
20	7	3492	116	1
21	9	2255	188	115
22	4	3110	50	34
23	3	2103	188	101
24	1	1643	59	7
25	7	2053	16	67
26	7	719	30	101
27	1	916	201	69
28	5	3713	127	36
29	3	1027	196	118
30	4	1639	234	70
31	1	4220	152	69
32	3	907	5	58
33	7	252	82	64
34	8	4753	164	36
35	3	1966	219	124
36	7	241	146	55
37	8	4893	150	117
38	8	1636	271	137
39	6	233	209	150
40	1	592	225	56
41	3	834	206	33
42	1	117	87	10
43	8	2769	229	103
44	9	2587	135	22
45	3	3879	261	96
46	3	245	221	21
47	5	3468	285	22
48	2	4986	92	33
49	9	2205	290	76
50	4	275	24	26
51	2	2182	8	147
52	4	3388	177	142
53	3	4917	53	131
54	5	385	156	41
55	1	3055	299	139
56	2	385	200	7
57	8	1563	134	15
58	8	4978	123	150
59	3	4056	183	135
60	9	2439	29	147
61	5	3362	71	83
62	5	4110	203	132
63	5	3065	257	101
64	7	1943	58	57
65	6	1995	293	67
66	8	1555	55	141
67	8	4849	245	129
68	9	3584	244	107
69	1	1475	122	52
70	3	4684	142	17
71	5	2028	224	96
72	6	1353	163	29
73	1	755	173	18
74	3	2690	272	1
75	2	4377	88	133
76	3	4832	94	15
77	7	1731	205	148
78	6	828	149	5
79	1	3424	255	23
80	9	3905	174	139
81	8	2720	214	56
82	2	3447	143	112
83	9	2078	160	126
84	7	4697	105	13
85	7	1695	50	150
86	9	3658	95	9
87	2	2358	113	51
88	5	1939	251	51
89	1	4031	24	54
90	4	381	244	81
91	3	3322	102	1
92	8	1955	35	15
93	9	4364	224	131
94	7	1665	250	1
95	1	1783	274	17
96	4	4357	190	142
97	5	520	124	90
98	7	4939	117	33
99	2	3827	65	108
100	9	4669	81	147
101	9	4587	28	2
102	2	2601	266	76
103	5	901	249	26
104	8	4328	224	94
105	9	294	285	15
106	4	2168	231	72
107	7	772	286	149
108	5	4798	72	97
109	6	3963	96	134
110	5	437	12	122
111	1	4459	126	89
112	1	2906	143	61
113	5	2940	21	131
114	5	1351	256	50
115	3	2733	54	43
116	1	642	178	52
117	1	2589	210	39
118	1	1287	155	10
119	9	3993	192	123
120	4	3677	284	118
121	7	1389	199	148
122	5	1680	272	34
123	5	1373	173	103
124	7	3187	266	63
125	1	4881	147	44
126	8	2084	277	66
127	6	1831	169	112
128	9	1933	238	137
129	7	3821	176	149
130	8	2953	121	86
131	2	68	37	109
132	3	624	241	65
133	9	232	13	69
134	9	3701	125	60
135	7	2602	273	131
136	2	2113	126	42
137	9	4191	226	117
