1	8
2	19
3	1
4	3
5	4
6	6
7	15
8	2
9	19
10	16
11	19
12	10
13	18
14	6
15	4
16	3
17	4
18	17
19	9
20	17
21	8
22	14
23	14
24	19
25	7
26	9
27	2
28	3
29	5
30	17
31	11
32	3
33	1
34	4
35	3
36	16
37	19
38	14
39	12
40	13
41	8
42	8
43	11
44	14
45	13
46	15
47	3
48	13
49	10
50	14
51	4
52	11
53	14
54	17
55	1
56	17
57	5
58	14
59	1
60	4
61	14
62	15
63	10
64	5
65	14
66	11
67	4
68	3
69	19
70	4
71	2
72	17
73	19
74	15
75	4
76	4
77	3
78	6
79	1
80	2
81	11
82	12
83	8
84	13
85	17
86	7
87	14
88	13
89	2
90	12
91	17
92	19
93	5
94	18
95	14
96	15
97	12
98	2
99	1
100	16
101	4
102	17
103	8
104	3
105	4
106	13
107	11
108	3
109	4
110	16
111	1
112	1
113	3
114	7
115	4
116	1
117	13
118	5
119	2
120	9
121	11
122	6
123	13
124	8
125	10
126	15
127	1
128	6
129	17
130	17
131	14
132	1
133	9
134	12
135	3
136	15
137	3
138	1
139	11
140	8
141	19
142	2
143	13
144	18
145	19
146	6
147	17
148	14
149	3
150	5
